timestamp,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1760596078.1570935,-0.07568612450736625,0.9845426579335653,0.006338087243934701,-0.039144929389410915,-1.2320297263292364,-0.6381066708931943
1760596078.1670575,-0.0800828382617933,0.9841271892634066,0.005540414017583205,-0.20955268993604403,-0.7224421672989279,-0.41313495011646606
1760596078.1770537,-0.08568476711088574,0.983496574938955,0.004472409736612359,-0.3540258842342552,-0.215241908877522,-0.20457323065571792
1760596078.187093,-0.0917386625789949,0.9827339919626812,0.00325583879294805,-0.45592306733786514,0.24041272207730077,-0.03322208494596942
1760596078.197033,-0.09750021381270685,0.9819428675235626,0.002018810018997354,-0.5041605946617123,0.6051662847496323,0.08620378987569254
1760596078.2070336,-0.10234609202617825,0.9812294392323572,0.0008785105072266925,-0.4947477747697796,0.8538505823760525,0.14664886894167753
1760596078.2170367,-0.10584693008080608,0.9806854248090159,-7.329008152991356e-05,-0.4311290239076391,0.977390385817877,0.1490066828926818
1760596078.2270417,-0.10779585379776933,0.9803740158121139,-0.0007801022719956572,-0.3233238349459959,0.9821959691256548,0.10121990983559304
1760596078.237034,-0.1081980237457817,0.9803212491301504,-0.0012246666148902473,-0.1860884128982721,0.8874346812958911,0.016472567638138993
1760596078.2470324,-0.10723298626217498,0.9805135734329309,-0.0014266889903153405,-0.036491180833658335,0.7208777577563511,-0.08913614122559808
1760596078.257083,-0.10520311845454483,0.980901402533118,-0.001435216903461833,0.10863437529609944,0.5141567803700597,-0.1990251628317037
1760596078.2684882,-0.10247924127670607,0.9814076741682439,-0.001317333735836293,0.2349268674932529,0.29823173809338444,-0.29831149762833065
1760596078.2770672,-0.09945054470154405,0.9819398716978883,-0.0011451393937268203,0.33210169799516,0.0997043141455014,-0.3754724398950378
1760596078.287054,-0.09648229741277703,0.9824036916189083,-0.0009830063109122252,0.39475248482879943,-0.061635732237015815,-0.4233404301481346
1760596078.2970593,-0.09388262694570883,0.9827165792309842,-0.0008770987467468341,0.42233486714594876,-0.17390519157278536,-0.43939341213921096
1760596078.30706,-0.09187895034695662,0.9828194879195499,-0.0008490211057182942,0.41845263247096626,-0.23296612967299132,-0.4254029636033068
1760596078.317045,-0.09060464184301045,0.9826852760066151,-0.000894927413976816,0.389661576807163,-0.24127690956286413,-0.3865808122202143
1760596078.3270504,-0.09009653751968266,0.9823223273462421,-0.0009903459645403665,0.3440544664780493,-0.20611315181603845,-0.3304134806790279
1760596078.3370695,-0.09030335998316918,0.9817725498937994,-0.0010995211761892088,0.28988834207247566,-0.1375347291834694,-0.2653886626502802
1760596078.3470707,-0.09110375824984375,0.9811038997090087,-0.0011866953733587345,0.23446719640284214,-0.04643788470404271,-0.19979727478341652
1760596078.357066,-0.09233079278551509,0.9803987648904289,-0.0012260716620648773,0.1834118643384026,0.05704204811216034,-0.14075278522197002
1760596078.3670564,-0.09379848941485654,0.9797405321206892,-0.0012077304340357463,0.1403557019179329,0.16460697626623583,-0.09351797261511571
1760596078.3770444,-0.09532636213443496,0.9792010283590252,-0.0011384315408564556,0.10702081037648264,0.2702874221590865,-0.06117748627195077
1760596078.3870516,-0.09675915552497516,0.9788311020375197,-0.0010381254543844782,0.0835704340268349,0.3703908729614723,-0.04464555844023761
1760596078.3970478,-0.09798040080304392,0.9786556211602726,-0.0009340381229688679,0.06910562611555726,0.4630378885951776,-0.042954494456337325
1760596078.4070573,-0.09891927364874058,0.97867310105276,-0.0008541411525252592,0.06217748173085215,0.5474716044404953,-0.05373662997562616
1760596078.417057,-0.09955097568158577,0.9788593711431788,-0.0008213565807475674,0.06121344297271101,0.6233378564091605,-0.07379657887569646
1760596078.4270453,-0.09989152114135863,0.9791741599196792,-0.0008495471596362212,0.0647977262183452,0.6901037763746739,-0.09967414588248429
1760596078.4370694,-0.09998820352028091,0.9795690780497682,-0.0009420173201150938,0.07179148920087484,0.7467246356242416,-0.12811800508428375
1760596078.4470942,-0.09990721978944911,0.9799952151379766,-0.0010925343716807544,0.08131789988492845,0.7915988020640601,-0.1564195983077349
1760596078.4570425,-0.09972011754955314,0.9804086606403141,-0.0012879979518203887,0.09266264992745028,0.822784649175867,-0.1825883230422409
1760596078.467035,-0.0994908813404232,0.9807729451767001,-0.0015114616785787825,0.10514800377069876,0.8384030449782109,-0.20537638261450372
1760596078.4770446,-0.09926561515341924,0.9810586386239502,-0.0017445037921139002,0.11802988717510118,0.8371218268659515,-0.22418112471374466
1760596078.4870596,-0.09906688254522991,0.9812416638066629,-0.0019685697988417114,0.13044853431117734,0.8186151326332068,-0.23886486717151761
1760596078.497077,-0.09889432942919779,0.9813024787468727,-0.0021653839160127517,0.14144134227704971,0.7839051534322807,-0.24953891026488298
1760596078.5070767,-0.09873169955811133,0.9812275643460121,-0.0023168125910959674,0.1500083990552512,0.735519620752805,-0.25635921876159784
1760596078.5170443,-0.098558158816633,0.9810129630404221,-0.002404864790232812,0.15521037231197257,0.6774298084747679,-0.2593744990988158
1760596078.5270472,-0.09836026106910457,0.9806681401153192,-0.002412707384724078,0.1562756386868755,0.6147671030339765,-0.25845383047154896
1760596078.5370502,-0.09814087166939178,0.9802181971939031,-0.0023272293032804356,0.15269649822965461,0.5533479100650451,-0.2533038494608607
1760596078.5470335,-0.09792265375650755,0.9797033508497042,-0.002142719140678713,0.14429954119442817,0.4990643651070176,-0.24356754478574502
1760596078.5570347,-0.09774537480988815,0.9791756714874804,-0.0018642692064905506,0.1312804591369437,0.4572200063864447,-0.2289795652532545
