timestamp,data
1760596086.7422783,797
1760596086.752314,835
1760596086.7632039,865
1760596086.7752829,889
1760596086.7831235,909
1760596086.7924082,924
1760596086.8023815,936
1760596086.8124013,946
1760596086.8224807,954
1760596086.832501,961
1760596086.842656,966
1760596086.8524773,970
1760596086.8624291,973
1760596086.873849,976
1760596086.8831382,978
1760596086.8931568,979
1760596086.902746,977
1760596086.912332,978
1760596086.9224815,954
1760596086.9335546,930
1760596086.9423556,898
1760596086.952412,866
1760596086.9624693,845
1760596086.9732153,826
1760596086.9826715,806
1760596086.994814,793
1760596087.0031152,786
1760596087.0131192,779
1760596087.02274,770
1760596087.03253,765
1760596087.042488,753
1760596087.052643,736
1760596087.062747,717
1760596087.0725987,696
1760596087.0825758,665
1760596087.092486,643
1760596087.1026895,601
1760596087.1134806,562
1760596087.1224432,510
1760596087.1333277,450
1760596087.1426911,398
1760596087.152476,341
1760596087.1625369,291
1760596087.172532,246
1760596087.1829019,205
1760596087.1925673,172
1760596087.2028072,143
1760596087.2125232,122
1760596087.2225964,105
1760596087.2327058,91
1760596087.2424943,79
1760596087.2525673,69
1760596087.2624025,61
1760596087.2723558,54
1760596087.2829375,47
1760596087.292653,45
1760596087.3024263,39
1760596087.3123217,38
1760596087.3223944,32
1760596087.3323975,30
1760596087.3422823,27
1760596087.3522627,25
1760596087.3622804,24
1760596087.372305,23
1760596087.3826566,22
1760596087.392885,19
1760596087.4024746,19
1760596087.4124267,17
1760596087.4224372,15
1760596087.432978,15
1760596087.4427795,12
1760596087.4544485,9
1760596087.4624846,10
1760596087.472251,7
1760596087.4827206,7
1760596087.4923847,7
1760596087.5025914,7
1760596087.5125985,8
1760596087.522489,8
1760596087.5327075,10
1760596087.5423281,10
1760596087.5523798,8
1760596087.562641,6
1760596087.5723903,4
1760596087.582285,6
1760596087.592373,7
1760596087.6023402,8
1760596087.6123562,8
1760596087.622833,6
1760596087.6322901,5
1760596087.642304,7
1760596087.6524067,7
1760596087.662478,8
1760596087.6723993,5
1760596087.6824615,5
1760596087.6923563,5
1760596087.7023482,5
1760596087.7122536,4
1760596087.7222965,4
1760596087.732636,7
1760596087.74286,6
1760596087.7524483,6
1760596087.762418,5
1760596087.772289,6
1760596087.7827919,8
1760596087.7923455,9
1760596087.802677,8
1760596087.812546,7
1760596087.8225498,10
1760596087.832432,10
1760596087.8423717,12
1760596087.8523173,18
1760596087.862294,23
1760596087.872402,28
1760596087.8824353,31
1760596087.8925538,30
1760596087.9025948,31
1760596087.912586,81
1760596087.9223611,195
1760596087.932462,353
1760596087.9429004,480
1760596087.9523616,581
1760596087.962253,651
1760596087.9723291,671
1760596087.9826882,662
1760596087.9926815,660
1760596088.0023623,657
1760596088.012573,667
1760596088.0227556,688
1760596088.0323648,730
1760596088.0425723,781
1760596088.052684,822
1760596088.0627017,855
1760596088.0724318,881
1760596088.0824072,902
1760596088.0925753,919
1760596088.102986,932
1760596088.1123972,943
1760596088.1225622,952
1760596088.1324394,958
1760596088.142598,964
1760596088.1530402,968
1760596088.1624703,972
1760596088.1723886,975
1760596088.1829076,977
1760596088.1923964,971
1760596088.2023609,962
1760596088.212338,942
1760596088.2223644,922
1760596088.2323947,896
1760596088.2424436,868
1760596088.2538364,846
1760596088.2625659,830
1760596088.2724357,816
1760596088.2829013,806
1760596088.2939594,802
1760596088.3043036,796
1760596088.312787,787
1760596088.3228033,782
1760596088.3327248,778
1760596088.3431134,767
1760596088.3525393,742
1760596088.362618,705
1760596088.3725955,655
1760596088.3825476,581
1760596088.3925288,509
1760596088.4023602,426
1760596088.4127686,355
1760596088.422923,290
1760596088.4328723,240
1760596088.4429066,195
1760596088.4525707,161
1760596088.4624226,136
1760596088.4728658,111
1760596088.4826322,92
1760596088.4924767,81
1760596088.502411,70
1760596088.5128033,58
1760596088.5225568,50
1760596088.532544,43
1760596088.5424109,37
1760596088.5524514,32
1760596088.562348,29
1760596088.5724273,25
1760596088.5831509,22
1760596088.5923853,21
1760596088.6026826,19
1760596088.6124012,17
1760596088.6226277,16
1760596088.6327956,15
1760596088.6425512,14
1760596088.6523805,15
1760596088.6628187,13
1760596088.6724381,13
1760596088.6825933,13
1760596088.6934125,12
1760596088.7026086,10
1760596088.7128427,11
1760596088.7224152,12
1760596088.732428,11
1760596088.742594,10
1760596088.7524805,9
1760596088.7624302,8
1760596088.772676,8
1760596088.7824054,9
1760596088.793122,8
1760596088.8022926,10
1760596088.8125772,10
1760596088.8228288,9
1760596088.8325973,6
1760596088.842464,5
1760596088.8524716,5
1760596088.862363,5
1760596088.8724103,4
1760596088.8824325,5
1760596088.8923411,6
1760596088.9023368,8
1760596088.9124227,10
1760596088.922861,11
1760596088.9325106,13
1760596088.942974,15
1760596088.952531,15
1760596088.9626627,15
1760596088.9727519,16
1760596088.9825573,17
1760596088.9924555,17
1760596089.0023096,18
1760596089.0124104,20
1760596089.02236,21
1760596089.0323029,22
1760596089.0423224,23
1760596089.0529525,26
1760596089.0623486,59
1760596089.0723367,138
1760596089.0825653,232
1760596089.092553,329
1760596089.1023252,405
1760596089.1126523,443
1760596089.1223917,456
1760596089.1330988,452
1760596089.143011,458
1760596089.1523693,450
1760596089.1631994,450
1760596089.1737626,448
1760596089.1823297,475
1760596089.1950855,510
1760596089.202684,560
1760596089.2124338,621
1760596089.2225754,694
1760596089.2326968,752
1760596089.2433858,799
1760596089.2524185,836
1760596089.2623372,866
1760596089.2731972,890
1760596089.2824883,909
1760596089.293031,925
1760596089.3025868,937
1760596089.3136163,947
1760596089.3225281,955
1760596089.3334546,961
1760596089.3427658,966
1760596089.3530316,970
1760596089.3632455,968
1760596089.372939,948
1760596089.382665,919
1760596089.392598,892
1760596089.402619,882
1760596089.4123783,861
1760596089.422489,846
1760596089.432522,833
1760596089.442761,826
1760596089.4524248,822
1760596089.462539,816
1760596089.4726062,802
1760596089.4826922,795
1760596089.4924254,782
1760596089.5026066,771
1760596089.5125105,747
1760596089.5225282,720
1760596089.5324855,683
1760596089.5426261,637
1760596089.5523717,590
1760596089.5624847,534
1760596089.5725064,466
1760596089.5825598,392
1760596089.59262,328
1760596089.6044858,270
1760596089.6124415,223
1760596089.622882,180
1760596089.6326761,148
1760596089.6423762,121
1760596089.6526358,100
1760596089.6626575,83
1760596089.672645,69
1760596089.6824927,57
1760596089.6927857,48
1760596089.7029674,42
1760596089.7126548,34
1760596089.7232404,29
1760596089.733893,21
1760596089.7425673,19
1760596089.7534041,18
1760596089.7629528,16
1760596089.7730424,16
1760596089.7825415,14
1760596089.7927277,13
1760596089.8027525,13
1760596089.812683,13
1760596089.822457,13
1760596089.8325672,13
1760596089.8425713,12
1760596089.852647,12
1760596089.862489,11
1760596089.872421,11
1760596089.8831131,10
1760596089.89273,11
1760596089.902759,11
1760596089.912663,13
