timestamp,angle,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1761285399.6615899,-4.216615497751217,-0.04532235727652887,0.9719203133138936,-0.12465920207484615,6.471744794456485,-1.6660918650463328,5.079544739052159
1761285399.671549,-4.0932069360858625,-0.041328634880518064,0.9741605405654559,-0.13740811036058317,6.313372999397265,-1.9673302286449297,5.03592761717893
1761285399.6815119,-3.968426834099416,-0.038760885319046166,0.9765742746743781,-0.15235592119598726,6.118215661393703,-2.2651105527077915,5.012189985982832
1761285399.6915345,-3.845760994507008,-0.037711119370270094,0.9789001270240314,-0.16923818329722,5.876626340005569,-2.5819723038022846,5.022254247018423
1761285399.7015285,-3.7283161328794185,-0.038109325646197255,0.9809064229011086,-0.18764628016400292,5.579415534050014,-2.9335907008340265,5.0767142333072215
1761285399.7116816,-3.6185385832388812,-0.03975239678393746,0.9824268076781403,-0.2070310637590806,5.220012929141752,-3.3246194668712805,5.1818305833531
1761285399.7215428,-3.518076715596487,-0.042356846763911965,0.9833784335425808,-0.22672097766899618,4.79637340990385,-3.745951878922239,5.339039347470754
1761285399.7316132,-3.427800678475181,-0.045620448003115245,0.9837612132773245,-0.24595489956559496,4.312188182179896,-4.174187919534845,5.545025631924004
1761285399.7415104,-3.347955313941121,-0.049277912231792155,0.9836412009443869,-0.26392859098492816,3.777080884640599,-4.5737622512976,5.792348877269929
1761285399.7515447,-3.278396425730269,-0.05313989951819934,0.9831238031230559,-0.27985267775513945,3.205685386128997,-4.90167867249719,6.070533851131765
1761285399.7616823,-3.218849876964178,-0.057110079636338615,0.9823236896802262,-0.29301831815004464,2.615771208682429,-5.114253788989039,6.367479079992923
1761285399.7718983,-3.1691346531959677,-0.06117961399117678,0.9813383601939094,-0.3028640568079256,2.0258191961620664,-5.1748417530325055,6.670999614225506
1761285399.7817614,-3.129300167116967,-0.0654013471368431,0.9802311449934756,-0.3090346783920901,1.452570057630404,-5.061285325054874,6.970319827426669
1761285399.7916026,-3.09964225449171,-0.06984806388142344,0.9790266134192979,-0.31142171406197194,0.9090347103692874,-4.771832471712864,7.25735542304336
1761285399.8016183,-3.0805835580549643,-0.07456208688250161,0.9777172435283481,-0.310177296398968,0.4032895743795931,-4.328434918933021,7.52765270580424
1761285399.8115416,-3.0724334633038737,-0.07950695107870119,0.9762763702128222,-0.30569841065406905,-0.06185297226378885,-3.7766645230996727,7.780872444751608
1761285399.8225818,-3.0750751671795657,-0.08453351877341012,0.9746711218911581,-0.2985850058487858,-0.4884227211445122,-3.1819259154485904,8.020718692057956
1761285399.8315175,-3.087653587146568,-0.0893712641756975,0.972871299861363,-0.28958007922273354,-0.8823651190496073,-2.622190836146043,8.254240343982158
1761285399.8415136,-3.1083494655402824,-0.09365086554940102,0.9708542391993914,-0.2795014488110515,-1.252368961956092,-2.17807507124784,8.4904944422589
1761285399.851526,-3.134316660526873,-0.09695730065222435,0.968608309007659,-0.2691739026906671,-1.6086438712946716,-1.9216156383581804,8.738656675721897
1761285399.8615158,-3.1618302725878946,-0.09890466187011829,0.9661371979893071,-0.25936784694904136,-1.9617632012625281,-1.9054503013356265,9.005781113544629
1761285399.8715253,-3.1866493554343434,-0.09921768945627464,0.963464827268768,-0.2507476368202714,-2.3216347377350997,-2.154152297547333,9.29452406418605
1761285399.8815312,-3.2045510149703,-0.09780283649462779,0.9606389367152428,-0.2438305327417983,-2.6966420618999063,-2.6592110706057714,9.601224663072328
1761285399.891517,-3.2119530533470773,-0.09479338524488619,0.9577312278457449,-0.2389562782285081,-3.0929927334405125,-3.378631776360042,9.914744262204284
1761285399.9015505,-3.206516765942433,-0.09055749379507616,0.9548331671512247,-0.23626760674315633,-3.5142949514112773,-4.241441199836135,10.216390692612443
1761285399.911534,-3.187615061232394,-0.08566442363144744,0.9520481495230716,-0.23570305725005913,-3.961362022433117,-5.156632154872117,10.48110125595092
1761285399.9215472,-3.15656677472669,-0.08081194502449034,0.9494817485997515,-0.23700453884739575,-4.43222665261842,-6.025363293258257,10.679859025489256
1761285399.93152,-3.1165743603870046,-0.07672553185618836,0.9472320922241023,-0.2397422457339268,-4.922341701160253,-6.754682563483284,10.783108508569654
1761285399.9415116,-3.0723522930945975,-0.0740456289353799,0.9453823778524773,-0.24335816256333215,-5.424946107051829,-7.270776118720274,10.764758435141944
1761285399.9515188,-3.029487460226681,-0.07322170886080685,0.943997241681459,-0.24722647336987802,-5.93157552254775,-7.5298199003055615,10.606244391755583
1761285399.9620461,-2.993619903246861,-0.07443052904677495,0.9431237815777176,-0.2507252051158999,-6.432691138601556,-7.524898986809525,10.300089367125215
1761285399.9715497,-2.9695636643255954,-0.07753137956370816,0.9427965650063929,-0.2533093002550895,-6.918387744109408,-7.288060327430701,9.852446225543927
1761285399.9815772,-2.960498096980741,-0.08206448817060881,0.9430447228976622,-0.25457231355372034,-7.379126869465167,-6.887258334437468,9.284222120919127
1761285399.9915447,-2.967349210500347,-0.08729178464381333,0.9438990785914146,-0.25428363400425563,-7.806425722107933,-6.418629550047389,8.630551678205995
1761285400.0015857,-2.9884518100630175,-0.0922732805399426,0.9453983699385734,-0.25239159756288915,-8.19342257122873,-5.995096772012688,7.938574693350746
1761285400.0115316,-3.019542217532209,-0.09596811993086773,0.9475954952246795,-0.2489896701503294,-8.535243934803143,-5.732691429549879,7.263654928062818
1761285400.021526,-3.054084586998241,-0.0973469751569434,0.9505661978676708,-0.2442511429157321,-8.829126064422836,-5.736182114319435,6.664330861318213
