timestamp,data
1761285399.6689532,259
1761285399.6786432,285
1761285399.6887264,327
1761285399.6988194,380
1761285399.7090702,430
1761285399.7189972,466
1761285399.7291906,509
1761285399.738567,551
1761285399.7488713,592
1761285399.759003,636
1761285399.7723522,690
1761285399.7793305,749
1761285399.7890332,798
1761285399.7991672,840
1761285399.8088176,874
1761285399.8234017,902
1761285399.8290951,923
1761285399.8385832,941
1761285399.8487375,955
1761285399.8587513,966
1761285399.8687947,975
1761285399.8787513,982
1761285399.8886545,985
1761285399.8985505,985
1761285399.9090583,989
1761285399.918635,991
1761285399.9286592,989
1761285399.9390333,987
1761285399.948734,990
1761285399.9598694,993
1761285399.9689538,996
1761285399.9785643,999
1761285399.9887998,1002
1761285399.998726,1003
1761285400.0088303,1005
1761285400.0186946,1006
1761285400.0286572,1005
1761285400.0386672,996
1761285400.0487213,969
1761285400.058994,933
1761285400.0686095,894
1761285400.078529,838
1761285400.0888557,771
1761285400.09859,705
1761285400.1086538,624
1761285400.1186893,535
1761285400.12864,449
1761285400.1385636,373
1761285400.1489315,307
1761285400.158831,254
1761285400.1688836,208
1761285400.1787453,172
1761285400.188628,145
1761285400.1985981,122
1761285400.2085853,104
1761285400.2189696,91
1761285400.228836,80
1761285400.2393184,71
1761285400.2486935,63
1761285400.2589993,57
1761285400.269151,51
1761285400.2786248,48
1761285400.2888548,47
1761285400.2988503,46
1761285400.310166,42
1761285400.3198009,39
1761285400.3292074,37
1761285400.3386838,35
1761285400.3485458,35
1761285400.3585413,35
1761285400.3687134,34
1761285400.3790746,31
1761285400.388765,31
1761285400.3988426,30
1761285400.408705,29
1761285400.4187849,29
1761285400.4286423,30
1761285400.43872,28
1761285400.448525,28
1761285400.4589663,29
1761285400.4686763,27
1761285400.478777,28
1761285400.4887774,27
1761285400.4986312,29
1761285400.5130405,30
1761285400.5187066,27
1761285400.5288124,25
1761285400.5385664,26
1761285400.5488973,25
1761285400.5586479,25
1761285400.5686538,25
1761285400.57858,27
1761285400.5885847,28
1761285400.5986662,29
1761285400.6085458,30
1761285400.6188457,29
1761285400.62856,27
1761285400.6385212,28
1761285400.6486506,27
1761285400.658642,27
1761285400.6686845,26
1761285400.6786418,27
1761285400.6885624,26
1761285400.6985393,26
1761285400.708614,26
1761285400.718797,27
1761285400.7288222,28
1761285400.7385685,28
1761285400.7485993,26
1761285400.7589686,27
1761285400.7686486,26
1761285400.778643,26
1761285400.788773,26
1761285400.798724,27
1761285400.8086655,28
1761285400.818974,31
1761285400.8285975,37
1761285400.8385746,61
1761285400.848522,177
1761285400.8589737,255
1761285400.8686283,364
1761285400.8786228,493
1761285400.8885856,596
1761285400.8985167,677
1761285400.9086332,739
1761285400.918694,790
1761285400.9288332,834
1761285400.9389658,869
1761285400.9489505,898
1761285400.9587874,920
1761285400.9688897,931
1761285400.9788034,933
1761285400.9885845,933
1761285400.998526,931
1761285401.0087245,929
1761285401.0194077,930
1761285401.0286326,936
1761285401.0388353,946
1761285401.0486653,959
1761285401.0587938,969
1761285401.068921,978
1761285401.0789669,984
1761285401.0899684,989
1761285401.0987499,994
1761285401.1086605,997
1761285401.1187303,1000
1761285401.1288323,1002
1761285401.1385372,1004
1761285401.1486974,1001
1761285401.158653,986
1761285401.1686468,961
1761285401.1786635,920
1761285401.188604,867
1761285401.1985996,816
1761285401.2085555,762
1761285401.2186308,705
1761285401.2285492,651
1761285401.2386162,592
1761285401.2487247,534
1761285401.258548,486
1761285401.2688122,442
1761285401.278752,405
1761285401.288527,373
1761285401.2985542,347
1761285401.3088188,327
1761285401.3187027,314
1761285401.328571,303
1761285401.3385727,297
1761285401.348546,296
1761285401.3586402,297
1761285401.3687422,299
1761285401.3786757,290
1761285401.388663,280
1761285401.398633,275
1761285401.4085977,263
1761285401.4186301,246
1761285401.4286892,227
1761285401.4385679,207
1761285401.4487183,188
1761285401.4586477,169
1761285401.4687715,147
1761285401.4786618,127
1761285401.4886796,109
1761285401.499037,93
1761285401.5090983,79
1761285401.51864,67
1761285401.5287356,63
1761285401.5393782,53
1761285401.5486739,49
1761285401.5587072,46
1761285401.5687163,42
1761285401.578803,40
1761285401.588607,38
1761285401.598647,34
1761285401.6088169,33
1761285401.618961,32
1761285401.628728,31
1761285401.638783,28
1761285401.6487553,27
1761285401.6586816,26
1761285401.668992,27
1761285401.6787705,26
1761285401.688836,27
1761285401.6985664,27
1761285401.7085679,26
1761285401.718595,27
1761285401.7287016,27
1761285401.738639,27
1761285401.7485693,27
1761285401.758565,27
1761285401.7687314,28
1761285401.7789814,26
