timestamp,data
1760682440.6304944,71
1760682440.638164,83
1760682440.6481586,96
1760682440.6604197,110
1760682440.6708884,121
1760682440.6815896,127
1760682440.6909738,126
1760682440.7007227,126
1760682440.7105992,125
1760682440.7204654,124
1760682440.7305348,123
1760682440.7405941,121
1760682440.750564,120
1760682440.7610211,117
1760682440.771245,113
1760682440.7806964,110
1760682440.790597,108
1760682440.800539,108
1760682440.8104646,106
1760682440.8205411,104
1760682440.830557,103
1760682440.8404791,102
1760682440.8516183,101
1760682440.86177,97
1760682440.8708827,94
1760682440.8806336,91
1760682440.8907468,87
1760682440.9012702,84
1760682440.9109876,83
1760682440.920489,80
1760682440.9307506,73
1760682440.9410079,66
1760682440.9483128,60
1760682440.9581819,56
1760682440.9704552,50
1760682440.980603,45
1760682440.99048,39
1760682441.0009527,31
1760682441.010463,24
1760682441.0182335,20
1760682441.0281634,22
1760682441.0405502,16
1760682441.04826,9
1760682441.0604627,3
1760682441.0706108,0
1760682441.0808635,0
1760682441.0906382,0
1760682441.10064,0
1760682441.1107008,0
1760682441.1206324,0
1760682441.130548,0
1760682441.1404774,0
1760682441.1482687,0
1760682441.1582031,0
1760682441.168411,0
1760682441.1805966,0
1760682441.1905448,0
1760682441.2032306,0
1760682441.2135258,0
1760682441.2221117,0
1760682441.2307456,0
1760682441.2407079,0
1760682441.2484505,0
1760682441.2607563,0
1760682441.2711565,0
1760682441.2831132,0
1760682441.292451,0
1760682441.3044233,0
1760682441.3149676,0
1760682441.3254476,0
1760682441.3333635,0
1760682441.3422751,0
1760682441.3506787,0
1760682441.360538,0
1760682441.3711584,0
1760682441.3786457,0
1760682441.3920205,0
1760682441.4010217,0
1760682441.4116378,0
1760682441.421022,0
1760682441.4309099,0
1760682441.4408567,0
1760682441.450984,0
1760682441.4605618,0
1760682441.4708788,0
1760682441.4810622,0
1760682441.4884381,0
1760682441.5007963,0
1760682441.5104945,0
1760682441.518291,0
1760682441.5283093,0
1760682441.538236,0
1760682441.5506039,0
1760682441.560753,0
1760682441.5723555,0
1760682441.5843444,0
1760682441.59257,0
