timestamp,data
1760514702.7207367,134
1760514702.7299187,138
1760514702.7401195,144
1760514702.7501466,146
1760514702.7599664,148
1760514702.769955,153
1760514702.7799013,164
1760514702.7899132,169
1760514702.7997677,188
1760514702.810043,207
1760514702.8202562,223
1760514702.8301647,244
1760514702.840166,279
1760514702.8500946,312
1760514702.8601465,342
1760514702.870327,370
1760514702.8802173,401
1760514702.8899953,421
1760514702.9003232,432
1760514702.9098752,445
1760514702.9203029,455
1760514702.929807,459
1760514702.9402692,458
1760514702.9499152,456
1760514702.9602745,447
1760514702.9701984,434
1760514702.9799743,416
1760514702.9899094,401
1760514703.0003157,388
1760514703.010115,379
1760514703.0199685,368
1760514703.0302727,361
1760514703.0401945,354
1760514703.0501077,348
1760514703.0601559,345
1760514703.070509,341
1760514703.0803149,339
1760514703.0902357,333
1760514703.0998938,326
1760514703.110042,319
1760514703.1201117,316
1760514703.1305506,303
1760514703.1401887,285
1760514703.14986,261
1760514703.16009,236
1760514703.170074,215
1760514703.1799982,190
1760514703.1900873,171
1760514703.2001154,153
1760514703.2100177,137
1760514703.2200491,125
1760514703.2300532,117
1760514703.2401278,109
1760514703.2501006,104
1760514703.26009,98
1760514703.2701998,93
1760514703.2800336,88
1760514703.290153,88
1760514703.2999296,88
1760514703.309927,88
1760514703.3202069,86
1760514703.329935,84
1760514703.3398845,83
1760514703.3501487,80
1760514703.360128,79
1760514703.3698566,77
1760514703.3800912,74
1760514703.3900309,71
1760514703.3998375,67
1760514703.4098065,62
1760514703.419968,57
1760514703.4299774,56
1760514703.440026,55
1760514703.4499958,53
1760514703.4601197,51
1760514703.4702725,50
1760514703.479986,50
1760514703.4897707,49
1760514703.4997392,48
1760514703.5102053,50
1760514703.5200832,51
1760514703.5303938,52
1760514703.540531,52
1760514703.549846,52
1760514703.5601373,54
1760514703.5701044,53
1760514703.5799818,54
1760514703.590077,54
1760514703.6000128,52
1760514703.6100452,52
1760514703.6201472,53
1760514703.6297376,53
1760514703.6398926,56
1760514703.649971,57
1760514703.6601498,62
1760514703.6698692,64
1760514703.6800196,66
1760514703.6900125,67
1760514703.6998217,70
1760514703.709774,70
1760514703.7199557,71
1760514703.730083,73
1760514703.740028,75
1760514703.7499998,77
1760514703.7598908,77
1760514703.7699747,76
1760514703.7799902,76
1760514703.790117,76
1760514703.8000004,78
1760514703.80993,78
1760514703.8203475,76
1760514703.8303819,76
1760514703.8400042,75
1760514703.850102,77
1760514703.8602443,74
1760514703.8703175,76
1760514703.8801887,75
1760514703.8903153,74
1760514703.899977,74
1760514703.910595,74
1760514703.9201245,75
1760514703.9298725,77
1760514703.9399562,79
1760514703.9499397,83
1760514703.9600375,85
1760514703.9703026,87
1760514703.9803836,89
1760514703.9900753,89
1760514704.0010242,92
1760514704.010245,95
1760514704.0201466,95
1760514704.030171,91
1760514704.040371,85
1760514704.0501702,82
1760514704.0600173,80
1760514704.070138,79
1760514704.0800958,80
1760514704.0903063,79
1760514704.1000764,80
1760514704.1099718,82
1760514704.120042,81
1760514704.1298702,83
1760514704.1400046,84
1760514704.15031,88
1760514704.1601822,88
1760514704.1698523,87
1760514704.1800919,89
1760514704.1902225,89
1760514704.2001348,95
1760514704.2102385,96
1760514704.220201,95
1760514704.2303417,94
1760514704.2401936,97
1760514704.2499506,102
1760514704.260535,107
1760514704.2702181,109
1760514704.2802815,118
1760514704.2900572,123
1760514704.3004055,130
1760514704.3107204,136
1760514704.3203657,139
1760514704.330177,144
1760514704.340089,148
1760514704.3501735,152
1760514704.3604267,160
1760514704.370507,167
1760514704.380076,173
1760514704.3900213,185
1760514704.4004555,199
1760514704.4100957,212
1760514704.419908,219
1760514704.4304707,220
1760514704.4402928,217
1760514704.450171,219
1760514704.4599884,217
1760514704.46991,215
1760514704.4804077,216
1760514704.4902806,219
1760514704.500012,220
1760514704.5098317,222
1760514704.5202816,224
1760514704.5299506,229
1760514704.540189,235
1760514704.5501432,245
1760514704.5600073,251
1760514704.5698297,263
1760514704.5803373,276
1760514704.5901291,297
1760514704.6000552,314
1760514704.6102984,343
1760514704.620356,363
1760514704.630129,387
1760514704.6401446,420
1760514704.650444,447
1760514704.6602778,466
1760514704.6700213,480
1760514704.680354,491
1760514704.6899126,502
1760514704.7000854,507
1760514704.7101288,519
1760514704.7198803,524
1760514704.7304423,519
1760514704.7401924,510
1760514704.749992,505
1760514704.75997,493
1760514704.7703505,478
1760514704.7801774,461
1760514704.7902353,446
1760514704.8006375,435
1760514704.8103538,425
1760514704.8204606,416
1760514704.8303468,407
1760514704.8404734,397
1760514704.850056,392
1760514704.860828,391
1760514704.8707528,391
1760514704.880224,394
1760514704.8901136,400
1760514704.9000309,403
1760514704.9107308,404
1760514704.920356,401
1760514704.9299953,389
1760514704.9401686,375
1760514704.9501746,357
1760514704.9600475,340
1760514704.9701576,317
1760514704.9801168,289
1760514704.9900186,266
1760514705.000028,237
1760514705.0101297,211
1760514705.0202482,192
1760514705.0303829,172
1760514705.0402763,155
1760514705.0500102,146
1760514705.0602422,136
1760514705.0701892,129
1760514705.080006,125
1760514705.0901935,122
1760514705.099791,116
1760514705.1098423,115
1760514705.1200686,115
1760514705.1300926,113
1760514705.140079,113
1760514705.1500351,113
1760514705.1599946,110
1760514705.1706965,107
1760514705.1815631,103
1760514705.191687,100
1760514705.2001708,98
1760514705.2103314,95
