timestamp,data
1760679884.808787,42
1760679884.8213723,45
1760679884.8287177,47
1760679884.8410997,77
1760679884.848762,129
1760679884.8610532,192
1760679884.8711438,287
1760679884.8787527,383
1760679884.8887634,472
1760679884.8987923,546
1760679884.9087985,588
1760679884.9187617,631
1760679884.9310288,672
1760679884.938855,707
1760679884.948873,740
1760679884.95889,770
1760679884.9688618,793
1760679884.9811046,812
1760679884.99153,828
1760679885.0027502,840
1760679885.011088,849
1760679885.0188015,857
1760679885.031515,863
1760679885.0412006,868
1760679885.0512452,871
1760679885.0589395,865
1760679885.0711741,848
1760679885.0788832,833
1760679885.0914795,808
1760679885.1010387,768
1760679885.1114793,728
1760679885.1210458,693
1760679885.131256,654
1760679885.1388779,609
1760679885.1514273,565
1760679885.1617453,522
1760679885.1715803,479
1760679885.1788785,448
1760679885.1919787,424
1760679885.2013094,402
1760679885.2114887,386
1760679885.218806,370
1760679885.2311385,349
1760679885.2416203,333
1760679885.2517176,314
1760679885.2610383,298
1760679885.2711325,278
1760679885.2810419,260
1760679885.2887752,244
1760679885.303368,232
1760679885.3088982,217
1760679885.3211238,201
1760679885.3288035,185
1760679885.341251,173
1760679885.3488686,162
1760679885.3587844,149
1760679885.3688095,135
1760679885.3787487,123
1760679885.3912272,110
1760679885.4015255,100
1760679885.408812,95
1760679885.41876,90
1760679885.4310405,85
1760679885.4387267,77
1760679885.45343,68
1760679885.4648268,64
1760679885.472489,54
1760679885.4787116,49
1760679885.488948,46
1760679885.4990294,45
1760679885.5091162,44
1760679885.5211318,42
1760679885.5312543,41
1760679885.538702,39
1760679885.551963,42
1760679885.5610723,41
1760679885.568821,40
1760679885.5812697,39
1760679885.5914128,33
1760679885.601042,30
1760679885.6111376,27
1760679885.6224551,26
1760679885.63132,27
1760679885.6412444,26
1760679885.6488214,29
1760679885.6588328,31
1760679885.668876,32
1760679885.68105,33
1760679885.691097,34
1760679885.7010639,32
1760679885.7087648,30
1760679885.7187326,27
1760679885.7314234,24
1760679885.743478,21
1760679885.7514272,21
1760679885.7588081,21
1760679885.7710152,24
1760679885.7818065,24
1760679885.7890034,26
1760679885.7988844,29
1760679885.8088048,32
1760679885.822764,37
1760679885.8314245,40
1760679885.838519,43
1760679885.8510118,46
1760679885.8588512,45
1760679885.8714542,42
1760679885.8827734,41
1760679885.892791,41
1760679885.901071,40
