timestamp,data
1760597940.6889813,651
1760597940.6989949,718
1760597940.7088468,771
1760597940.7191994,814
1760597940.7292032,849
1760597940.7389066,876
1760597940.7495666,898
1760597940.7590344,916
1760597940.770229,930
1760597940.779428,941
1760597940.7889621,950
1760597940.7989085,957
1760597940.8095508,963
1760597940.8195195,967
1760597940.8290484,971
1760597940.8392293,974
1760597940.8490858,976
1760597940.8592665,978
1760597940.8692896,980
1760597940.8811476,981
1760597940.8892868,982
1760597940.8990104,983
1760597940.9099402,983
1760597940.9191594,984
1760597940.929021,984
1760597940.9395587,985
1760597940.9490047,985
1760597940.9592376,985
1760597940.9687335,985
1760597940.9789374,985
1760597940.9888773,985
1760597940.9989638,986
1760597941.0091858,986
1760597941.0189812,986
1760597941.0290987,953
1760597941.039157,899
1760597941.0489075,824
1760597941.0592103,736
1760597941.0693433,629
1760597941.0789144,526
1760597941.088852,430
1760597941.0992231,350
1760597941.1092148,282
1760597941.1188428,228
1760597941.1289854,185
1760597941.1389756,148
1760597941.149547,120
1760597941.1590593,101
1760597941.1688483,85
1760597941.1788738,73
1760597941.1888824,63
1760597941.1991622,51
1760597941.2090292,44
1760597941.2188704,37
1760597941.2291794,31
1760597941.2392933,26
1760597941.249146,22
1760597941.259111,19
1760597941.26908,16
1760597941.2791984,14
1760597941.2892818,13
1760597941.2989867,13
1760597941.3089364,12
1760597941.3191571,11
1760597941.328943,9
1760597941.3389919,7
1760597941.3488653,5
1760597941.3589778,4
1760597941.369497,5
1760597941.3793867,4
1760597941.3891504,4
1760597941.3989382,3
1760597941.4089804,2
1760597941.4193096,1
1760597941.4292943,1
1760597941.439181,0
1760597941.4492524,1
1760597941.4593403,0
1760597941.468991,0
1760597941.479249,0
1760597941.4890316,0
1760597941.4992201,0
1760597941.509244,0
1760597941.5191762,0
1760597941.5292542,0
1760597941.5391397,0
1760597941.5492413,0
1760597941.5596561,0
1760597941.5688317,0
1760597941.5791693,0
1760597941.5892208,1
1760597941.5991735,1
1760597941.6091151,1
1760597941.6191041,1
1760597941.6290998,1
1760597941.6396337,0
1760597941.649112,0
1760597941.65921,0
1760597941.6692472,0
1760597941.679293,0
1760597941.6893926,0
1760597941.6991854,0
1760597941.7091353,0
1760597941.7192073,0
1760597941.7290854,0
1760597941.7392466,0
1760597941.7492135,0
1760597941.7598772,0
1760597941.76922,0
1760597941.7793624,0
1760597941.7890472,0
1760597941.7990265,0
1760597941.8115392,0
1760597941.819448,0
1760597941.8290968,0
1760597941.8394911,0
1760597941.8489218,18
1760597941.8594859,69
1760597941.8692346,185
1760597941.879039,345
1760597941.8889766,474
1760597941.8992429,576
1760597941.9091625,658
1760597941.919555,702
1760597941.929273,712
1760597941.9392653,684
1760597941.948861,649
1760597941.9591603,612
1760597941.9688542,588
1760597941.9792526,577
1760597941.9892156,578
1760597941.9989493,593
1760597942.0093176,610
1760597942.0189283,644
1760597942.0289264,691
1760597942.0391347,750
1760597942.0488665,797
1760597942.0592377,835
1760597942.0690799,865
1760597942.0791676,889
1760597942.0889907,909
1760597942.0988762,924
1760597942.1090555,936
1760597942.1192234,946
1760597942.1292703,954
1760597942.139454,961
1760597942.1490254,966
1760597942.1590135,970
1760597942.169031,973
1760597942.1793878,976
1760597942.1888208,975
1760597942.1987863,971
1760597942.2094762,954
1760597942.2188408,938
1760597942.228831,920
1760597942.238888,908
1760597942.2490325,899
1760597942.2589698,896
1760597942.2690399,897
1760597942.279036,903
1760597942.2889273,910
1760597942.298944,918
1760597942.3093402,924
1760597942.3190212,920
1760597942.3291261,913
1760597942.3389118,901
1760597942.3493416,882
1760597942.3589964,855
1760597942.369109,825
1760597942.379044,784
1760597942.3889544,743
1760597942.3991199,688
1760597942.4090624,631
1760597942.4188354,569
1760597942.4294658,507
1760597942.4395273,438
1760597942.449403,375
1760597942.4590476,314
1760597942.468972,264
1760597942.4791315,216
1760597942.489391,172
1760597942.4993649,143
1760597942.509095,119
1760597942.5192297,99
1760597942.529103,85
1760597942.539105,73
1760597942.5496206,64
1760597942.5592852,57
1760597942.569422,50
1760597942.5791252,45
1760597942.5891974,40
1760597942.5991316,35
1760597942.6088018,28
1760597942.6191506,25
1760597942.6287837,23
1760597942.639376,22
1760597942.6488957,18
1760597942.6589515,17
1760597942.6690352,18
